Well,Fluor,Target,Content,Sample,Cq,SQ,filter_amt,dilution
I06,Cy5,,Unkn,BO_18,30.60623018,8.16E+107,,10
I04,HEX,,Unkn,BO_18,NaN,NaN,30,10
I05,HEX,,Unkn,BO_18,NaN,NaN,30,10
I06,HEX,,Unkn,BO_18,39.63680899,0.031949304,30,10
K04,Cy5,,Unkn,BO_19,26.26466265,1.72E+45,,10
K05,Cy5,,Unkn,BO_19,23.13942022,1.314203117,,10
K06,Cy5,,Unkn,BO_19,36.01623675,1.03E+186,,10
K04,HEX,,Unkn,BO_19,36.71391616,0.27165874,30,10
K05,HEX,,Unkn,BO_19,36.55558418,0.305054694,30,10
K06,HEX,,Unkn,BO_19,NaN,NaN,30,10
A01,Cy5,,Unkn,BO_7,26.67866833,1.63E+51,,10
A02,Cy5,,Unkn,BO_7,23.36585643,2440.918105,,10
A03,Cy5,,Unkn,BO_7,23.10987576,0.492210893,,10
A01,HEX,,Unkn,BO_7,NaN,NaN,100,10
A02,HEX,,Unkn,BO_7,36.61057215,0.293015091,100,10
A03,HEX,,Unkn,BO_7,NaN,NaN,100,10
L01,Cy5,,Unkn,BO_7_i,22.76532955,5.23E-06,,10
L02,Cy5,,Unkn,BO_7_i,23.16276832,2.855759312,,10
L03,Cy5,,Unkn,BO_7_i,23.1028492,0.389685325,,10
C01,Cy5,,Unkn,BO_8,23.32099411,549.4263137,,10
C02,Cy5,,Unkn,BO_8,23.26411349,82.94042744,,10
C03,Cy5,,Unkn,BO_8,23.24450423,43.21972931,,10
C01,HEX,,Unkn,BO_8,37.79454206,0.123127255,100,10
C02,HEX,,Unkn,BO_8,NaN,NaN,100,10
C03,HEX,,Unkn,BO_8,36.84187913,0.247359076,100,10
E01,Cy5,,Unkn,BO_9,23.20459366,11.46893134,,10
E02,Cy5,,Unkn,BO_9,23.18267332,5.53446079,,10
E03,Cy5,,Unkn,BO_9,23.35086484,1482.965044,,10
E01,HEX,,Unkn,BO_9,NaN,NaN,100,10
E02,HEX,,Unkn,BO_9,NaN,NaN,100,10
E03,HEX,,Unkn,BO_9,35.55612066,0.634213195,100,10
G08,Cy5,,Unkn,C2_11,23.31843439,504.6109427,,1
G09,Cy5,,Unkn,C2_11,22.86408755,0.00013928,,1
G10,Cy5,,Unkn,C2_11,23.29210713,210.324358,,1
G08,HEX,,Unkn,C2_11,36.28845323,0.370964953,100,1
G09,HEX,,Unkn,C2_11,35.29658142,0.766965919,100,1
G10,HEX,,Unkn,C2_11,35.81524173,0.524599016,100,1
I08,Cy5,,Unkn,C2_12,31.0563153,2.56E+114,,1
I09,Cy5,,Unkn,C2_12,22.38774551,1.85E-11,,1
I10,Cy5,,Unkn,C2_12,22.98683828,0.008240448,,1
I08,HEX,,Unkn,C2_12,NaN,NaN,100,1
I09,HEX,,Unkn,C2_12,35.83206629,0.518175395,100,1
I10,HEX,,Unkn,C2_12,38.29029162,0.085643,100,1
K08,Cy5,,Unkn,C2_13,23.85868384,31778630100,,1
K09,Cy5,,Unkn,C2_13,23.49916601,205137.1208,,1
K10,Cy5,,Unkn,C2_13,22.66187586,1.68E-07,,1
K08,HEX,,Unkn,C2_13,37.14913596,0.197520203,100,1
K09,HEX,,Unkn,C2_13,NaN,NaN,100,1
K10,HEX,,Unkn,C2_13,NaN,NaN,100,1
A11,Cy5,,Unkn,C2_14,23.54513758,945587.0411,,1
A12,Cy5,,Unkn,C2_14,23.3715526,2949.746439,,1
A13,Cy5,,Unkn,C2_14,23.41928037,14414.34502,,1
A11,HEX,,Unkn,C2_14,37.13297412,0.199871763,100,1
A12,HEX,,Unkn,C2_14,NaN,NaN,100,1
A13,HEX,,Unkn,C2_14,38.21358584,0.090591295,100,1
C11,Cy5,,Unkn,C2_15,23.33697405,934.544414,,1
C12,Cy5,,Unkn,C2_15,23.39179245,5780.591996,,1
C13,Cy5,,Unkn,C2_15,23.1183613,0.652605257,,1
C11,HEX,,Unkn,C2_15,37.03463601,0.214795773,100,1
C12,HEX,,Unkn,C2_15,37.06356659,0.210293086,100,1
C13,HEX,,Unkn,C2_15,37.37972494,0.166831375,100,1
E11,Cy5,,Unkn,C2_16,23.36060959,2050.257938,,1
E12,Cy5,,Unkn,C2_16,23.85620681,29266855574,,1
E13,Cy5,,Unkn,C2_16,23.32605669,650.1208929,,1
E11,HEX,,Unkn,C2_16,37.02857349,0.215751481,100,1
E12,HEX,,Unkn,C2_16,36.99215908,0.221582059,100,1
E13,HEX,,Unkn,C2_16,35.79538369,0.53228336,100,1
G11,Cy5,,Unkn,C2_17,23.11455123,0.574972995,,1
G12,Cy5,,Unkn,C2_17,24.54119374,2.26E+20,,1
G13,Cy5,,Unkn,C2_17,21.59977805,7.80E-23,,1
G11,HEX,,Unkn,C2_17,35.54947997,0.637304817,100,1
G12,HEX,,Unkn,C2_17,NaN,NaN,100,1
G13,HEX,,Unkn,C2_17,NaN,NaN,100,1
I11,Cy5,,Unkn,C2_18,23.06794896,0.122147701,,1
I12,Cy5,,Unkn,C2_18,22.56531767,6.77E-09,,1
I13,Cy5,,Unkn,C2_18,23.01878727,0.023832773,,1
I11,HEX,,Unkn,C2_18,38.17186246,0.093401893,100,1
I12,HEX,,Unkn,C2_18,38.90037839,0.054785684,100,1
I13,HEX,,Unkn,C2_18,NaN,NaN,100,1
K11,Cy5,,Unkn,C2_19,23.21979346,19.00863872,,1
K12,Cy5,,Unkn,C2_19,22.90303873,0.000508393,,1
K13,Cy5,,Unkn,C2_19,23.15879556,2.502476126,,1
K11,HEX,,Unkn,C2_19,NaN,NaN,100,1
K12,HEX,,Unkn,C2_19,NaN,NaN,100,1
K13,HEX,,Unkn,C2_19,NaN,NaN,100,1
A08,Cy5,,Unkn,C2_7,23.34536682,1235.264883,,1
A09,Cy5,,Unkn,C2_7,23.37338914,3135.432088,,1
A10,Cy5,,Unkn,C2_7,23.37763314,3610.479011,,1
A08,HEX,,Unkn,C2_7,NaN,NaN,100,1
A09,HEX,,Unkn,C2_7,NaN,NaN,100,1
A10,HEX,,Unkn,C2_7,NaN,NaN,100,1
C08,Cy5,,Unkn,C2_8,23.25374763,58.7654517,,1
C09,Cy5,,Unkn,C2_8,23.19509909,8.364825759,,1
C10,Cy5,,Unkn,C2_8,23.13026158,0.969272806,,1
C08,HEX,,Unkn,C2_8,38.48962034,0.074011587,100,1
C09,HEX,,Unkn,C2_8,37.56988549,0.145144745,100,1
C10,HEX,,Unkn,C2_8,NaN,NaN,100,1
E08,Cy5,,Unkn,C2_9,24.36271617,6.00E+17,,1
E09,Cy5,,Unkn,C2_9,23.00103329,0.013209111,,1
E10,Cy5,,Unkn,C2_9,23.37992274,3895.993012,,1
E08,HEX,,Unkn,C2_9,NaN,NaN,100,1
E09,HEX,,Unkn,C2_9,NaN,NaN,100,1
E10,HEX,,Unkn,C2_9,37.03749807,0.214346067,100,1
G15,Cy5,,Unkn,RD_11,22.86084518,0.00012505,,1
G16,Cy5,,Unkn,RD_11,23.10994004,0.493263708,,1
G17,Cy5,,Unkn,RD_11,23.28043552,142.6905684,,1
G15,HEX,,Unkn,RD_11,NaN,NaN,100,1
G16,HEX,,Unkn,RD_11,36.86505148,0.243197101,100,1
G17,HEX,,Unkn,RD_11,NaN,NaN,100,1
I15,Cy5,,Unkn,RD_12,23.24929957,50.68841713,,1
I16,Cy5,,Unkn,RD_12,23.31947991,522.4564561,,1
I17,Cy5,,Unkn,RD_12,23.5902235,4232270.556,,1
I15,HEX,,Unkn,RD_12,36.70044529,0.27435179,100,1
I16,HEX,,Unkn,RD_12,NaN,NaN,100,1
I17,HEX,,Unkn,RD_12,NaN,NaN,100,1
K15,Cy5,,Unkn,RD_13,22.98422907,0.007555856,,1
K16,Cy5,,Unkn,RD_13,23.10713617,0.449367617,,1
K17,Cy5,,Unkn,RD_13,23.17922063,4.934366844,,1
K15,HEX,,Unkn,RD_13,35.76076269,0.545950594,100,1
K16,HEX,,Unkn,RD_13,NaN,NaN,100,1
K17,HEX,,Unkn,RD_13,36.28839677,0.370980291,100,1
A18,Cy5,,Unkn,RD_14,23.3150846,451.4380723,,1
A19,Cy5,,Unkn,RD_14,23.24349372,41.79208933,,1
A20,Cy5,,Unkn,RD_14,23.47430689,89778.35826,,1
A18,HEX,,Unkn,RD_14,NaN,NaN,100,1
A19,HEX,,Unkn,RD_14,37.87842591,0.115791524,100,1
A20,HEX,,Unkn,RD_14,NaN,NaN,100,1
C18,Cy5,,Unkn,RD_15,23.29680696,245.8881633,,1
C19,Cy5,,Unkn,RD_15,23.20291922,10.8480143,,1
C20,Cy5,,Unkn,RD_15,23.0216932,0.026249758,,1
C18,HEX,,Unkn,RD_15,NaN,NaN,100,1
C19,HEX,,Unkn,RD_15,37.98519638,0.107083055,100,1
C20,HEX,,Unkn,RD_15,NaN,NaN,100,1
E18,Cy5,,Unkn,RD_16,23.26638342,89.44078895,,1
E19,Cy5,,Unkn,RD_16,23.09266954,0.277816363,,1
E20,Cy5,,Unkn,RD_16,23.13444619,1.113925734,,1
E18,HEX,,Unkn,RD_16,35.92150663,0.485324527,100,1
E19,HEX,,Unkn,RD_16,37.84452741,0.118701839,100,1
E20,HEX,,Unkn,RD_16,36.6185038,0.29131812,100,1
G18,Cy5,,Unkn,RD_17,22.26659077,3.30E-13,,1
G19,Cy5,,Unkn,RD_17,23.2235344,21.52565167,,1
G20,Cy5,,Unkn,RD_17,24.18583345,1.68E+15,,1
G18,HEX,,Unkn,RD_17,NaN,NaN,100,1
G19,HEX,,Unkn,RD_17,NaN,NaN,100,1
G20,HEX,,Unkn,RD_17,38.73301031,0.061929112,100,1
I18,Cy5,,Unkn,RD_18,21.66754502,7.42E-22,,1
I19,Cy5,,Unkn,RD_18,24.0029765,3.84752E+12,,1
I20,Cy5,,Unkn,RD_18,22.89153967,0.000346893,,1
I18,HEX,,Unkn,RD_18,NaN,NaN,100,1
I19,HEX,,Unkn,RD_18,NaN,NaN,100,1
I20,HEX,,Unkn,RD_18,NaN,NaN,100,1
K18,Cy5,,Unkn,RD_19,23.03464083,0.040368315,,1
K19,Cy5,,Unkn,RD_19,33.84457036,4.58E+154,,1
K20,Cy5,,Unkn,RD_19,16.14859909,1.58E-101,,1
K18,HEX,,Unkn,RD_19,NaN,NaN,100,1
K19,HEX,,Unkn,RD_19,NaN,NaN,100,1
K20,HEX,,Unkn,RD_19,NaN,NaN,100,1
A15,Cy5,,Unkn,RD_7,23.28821799,184.8183041,,1
A16,Cy5,,Unkn,RD_7,22.08231024,7.21E-16,,1
A17,Cy5,,Unkn,RD_7,23.32715467,674.2869739,,1
A15,HEX,,Unkn,RD_7,36.91420881,0.234598362,100,1
A16,HEX,,Unkn,RD_7,NaN,NaN,100,1
A17,HEX,,Unkn,RD_7,NaN,NaN,100,1
C15,Cy5,,Unkn,RD_8,23.2047256,11.51934077,,1
C16,Cy5,,Unkn,RD_8,23.26169572,76.53546027,,1
C17,Cy5,,Unkn,RD_8,23.12516485,0.818216784,,1
C15,HEX,,Unkn,RD_8,NaN,NaN,100,1
C16,HEX,,Unkn,RD_8,NaN,NaN,100,1
C17,HEX,,Unkn,RD_8,36.74390869,0.265757306,100,1
E15,Cy5,,Unkn,RD_9,23.51534384,351229.9699,,1
E16,Cy5,,Unkn,RD_9,23.25065442,53.02342543,,1
E17,Cy5,,Unkn,RD_9,23.23308343,29.56708205,,1
E15,HEX,,Unkn,RD_9,36.64213131,0.286321056,100,1
E16,HEX,,Unkn,RD_9,NaN,NaN,100,1
E17,HEX,,Unkn,RD_9,36.95806171,0.227184405,100,1
A22,Cy5,,Std,,25.13693115,3700000,,
A23,Cy5,,Std,,24.41935579,3700000,,
A24,Cy5,,Std,,22.08465836,3700000,,
C22,Cy5,,Std,,26.04477793,370000,,
C23,Cy5,,Std,,23.16412378,370000,,
C24,Cy5,,Std,,22.47475107,370000,,
E22,Cy5,,Std,,22.9962204,37000,,
E23,Cy5,,Std,,22.83482451,37000,,
E24,Cy5,,Std,,23.24473228,37000,,
G22,Cy5,,Std,,21.90320548,3700,,
G23,Cy5,,Std,,23.38527832,3700,,
G24,Cy5,,Std,,22.88131858,3700,,
I22,Cy5,,Std,,23.08265732,370,,
I23,Cy5,,Std,,23.11973326,370,,
I24,Cy5,,Std,,22.28850777,370,,
K22,Cy5,,Std,,24.14454267,37,,
K23,Cy5,,Std,,22.89049527,37,,
K24,Cy5,,Std,,25.56270494,37,,
M22,Cy5,,Std,,23.14836256,3.7,,
M23,Cy5,,Std,,23.19075752,3.7,,
M24,Cy5,,Std,,22.94783015,3.7,,
P22,Cy5,,NTC,,22.90373988,NaN,,
P23,Cy5,,NTC,,23.20130764,NaN,,
P24,Cy5,,NTC,,23.28582102,NaN,,
A22,HEX,,Std,,14.43766715,3700000,,
A23,HEX,,Std,,14.45546909,3700000,,
A24,HEX,,Std,,14.4988573,3700000,,
C22,HEX,,Std,,17.63963487,370000,,
C23,HEX,,Std,,17.46882549,370000,,
C24,HEX,,Std,,17.35746039,370000,,
E22,HEX,,Std,,20.50689433,37000,,
E23,HEX,,Std,,20.43105947,37000,,
E24,HEX,,Std,,20.33278536,37000,,
G22,HEX,,Std,,23.65743707,3700,,
G23,HEX,,Std,,23.67198784,3700,,
G24,HEX,,Std,,23.61392056,3700,,
I22,HEX,,Std,,26.47931623,370,,
I23,HEX,,Std,,26.44397366,370,,
I24,HEX,,Std,,26.87217118,370,,
K22,HEX,,Std,,29.91446003,37,,
K23,HEX,,Std,,29.78327148,37,,
K24,HEX,,Std,,NaN,37,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
M22,HEX,,Std,,33.526445,3.7,,
M23,HEX,,Std,,33.84617833,3.7,,
M24,HEX,,Std,,33.06359636,3.7,,
P22,HEX,,NTC,,NaN,NaN,,
P23,HEX,,NTC,,NaN,NaN,,
P24,HEX,,NTC,,NaN,NaN,,
